3000	1	0.6128	0.2412
3050	1	0.6236	0.2506
3100	1	0.6321	0.262
3150	1	0.6389	0.2736
3200	1	0.651	0.2864
3250	1	0.6592	0.2958
3300	1	0.6658	0.3075
3350	1	0.6762	0.3177
3400	1	0.6813	0.3283
3450	1	0.6909	0.3403
3500	1	0.6971	0.3538
3550	1	0.7071	0.3618
3600	1	0.7082	0.3703
3650	1	0.717	0.3821
3700	1	0.7244	0.3957
3750	1	0.7287	0.4086
3800	1	0.7388	0.4196
3850	1	0.7459	0.4289
3900	1	0.7514	0.443
3950	1	0.7522	0.4556
4000	1	0.7623	0.4661
4050	1	0.7699	0.4805
4100	1	0.7787	0.4909
4150	1	0.7818	0.5014
4200	1	0.7882	0.5151
4250	1	0.7929	0.5245
4300	1	0.7978	0.5383
4350	1	0.8033	0.5471
4400	1	0.8118	0.561
4450	1	0.8128	0.5694
4500	1	0.8202	0.582
4550	1	0.8266	0.5938
4600	1	0.8299	0.6059
4650	1	0.8319	0.6164
4700	1	0.8369	0.6269
4750	1	0.843	0.6384
4800	1	0.8463	0.6495
4850	1	0.8509	0.6604
4900	1	0.8537	0.6765
4950	1	0.859	0.6818
5000	1	0.8636	0.694
5050	1	0.8683	0.7044
5100	1	0.873	0.716
5150	1	0.876	0.7288
5200	1	0.8785	0.7391
5250	1	0.8834	0.7474
5300	1	0.8891	0.7575
5350	1	0.896	0.7681
5400	1	0.8926	0.7753
5450	1	0.9012	0.7896
5500	1	0.9003	0.7965
5550	1	0.906	0.8066
5600	1	0.9063	0.8186
5650	1	0.9112	0.8285
5700	1	0.9151	0.8454
5750	1	0.916	0.8481
5800	1	0.9205	0.8558
5850	1	0.9208	0.8658
5900	1	0.9257	0.8756
5950	1	0.9193	0.8832
6000	1	0.9301	0.8954
6050	1	0.9258	0.9031
6100	1	0.9326	0.9123
6150	1	0.9378	0.9238
6200	1	0.9381	0.9334
6250	1	0.9375	0.9429
6300	1	0.9365	0.9465
6350	1	0.9461	0.9586
6400	1	0.949	0.968
6450	1	0.9516	0.9772
6500	1	0.953	0.9861
6550	1	0.9543	0.9951
6600	1	0.9541	1
6650	0.9879	0.9477	1
6700	0.9753	0.9418	1
6750	0.9718	0.9356	1
6800	0.9644	0.9306	1
6850	0.957	0.9242	1
6900	0.9532	0.9194	1
6950	0.9432	0.9183	1
7000	0.9371	0.9108	1
7050	0.9295	0.907	1
7100	0.9221	0.8999	1
7150	0.9151	0.8953	1
7200	0.9084	0.8897	1
7250	0.9002	0.8844	1
7300	0.8885	0.8809	1
7350	0.8931	0.8775	1
7400	0.8839	0.8667	1
7450	0.8815	0.8677	1
7500	0.8734	0.858	1
7550	0.8709	0.8615	1
7600	0.8596	0.8558	1
7650	0.858	0.851	1
7700	0.8512	0.8473	1
7750	0.8512	0.8473	1
7800	0.8355	0.8415	1
7850	0.8382	0.8356	1
7900	0.8317	0.8313	1
7950	0.8317	0.8313	1
8000	0.8211	0.8259	1
