0	0	0	0	0	0
256	0	0	193	9	4
512	0	0	386	19	7
768	0	0	576	28	11
1024	0	0	757	37	15
1280	0	0	938	47	20
1536	0	0	1124	56	23
1792	0	0	1311	65	27
2048	0	0	1485	74	31
2303	0	0	1663	84	35
2559	0	0	1843	93	38
2815	0	0	2024	102	42
3071	0	0	2228	112	46
3327	0	0	2411	121	50
3583	0	0	2584	130	53
3839	0	0	2768	140	57
4095	0	0	2949	149	61
0	256	0	65	229	17
256	256	0	256	240	20
512	256	0	448	251	24
768	256	0	634	261	29
1024	256	0	814	270	33
1280	256	0	996	280	36
1536	256	0	1183	289	40
1792	256	0	1364	297	44
2048	256	0	1538	307	48
2303	256	0	1715	316	51
2559	256	0	1894	325	55
2815	256	0	2082	333	59
3071	256	0	2285	344	63
3327	256	0	2457	352	66
3583	256	0	2637	361	70
3839	256	0	2822	372	75
4095	256	0	3002	380	79
0	512	0	128	461	34
256	512	0	319	472	38
512	512	0	511	483	42
768	512	0	692	491	46
1024	512	0	872	500	49
1280	512	0	1054	509	53
1536	512	0	1243	518	57
1792	512	0	1418	526	61
2048	512	0	1594	536	64
2303	512	0	1774	546	68
2559	512	0	1951	553	72
2815	512	0	2147	562	75
3071	512	0	2343	572	80
3327	512	0	2513	580	84
3583	512	0	2694	589	88
3839	512	0	2876	598	91
4095	512	0	3057	607	95
0	768	0	192	686	51
256	768	0	383	696	55
512	768	0	572	705	58
768	768	0	753	715	62
1024	768	0	933	724	66
1280	768	0	1118	733	70
1536	768	0	1304	742	73
1792	768	0	1477	749	77
2048	768	0	1652	759	82
2303	768	0	1830	767	86
2559	768	0	2011	775	89
2815	768	0	2215	785	93
3071	768	0	2397	794	97
3327	768	0	2569	802	101
3583	768	0	2751	810	104
3839	768	0	2933	821	108
4095	768	0	3116	831	112
0	1024	0	256	910	69
256	1024	0	447	920	71
512	1024	0	632	928	75
768	1024	0	812	937	80
1024	1024	0	993	946	84
1280	1024	0	1182	956	87
1536	1024	0	1364	966	91
1792	1024	0	1537	974	95
2048	1024	0	1714	983	99
2303	1024	0	1892	992	102
2559	1024	0	2081	1000	106
2815	1024	0	2284	1010	110
3071	1024	0	2454	1018	114
3327	1024	0	2631	1027	117
3583	1024	0	2813	1037	121
3839	1024	0	2994	1046	126
4095	1024	0	3178	1057	130
0	1280	0	320	1136	85
256	1280	0	511	1148	89
512	1280	0	692	1157	93
768	1280	0	872	1166	96
1024	1280	0	1055	1175	100
1280	1280	0	1244	1185	104
1536	1280	0	1419	1193	108
1792	1280	0	1593	1203	111
2048	1280	0	1769	1212	115
2303	1280	0	1948	1220	119
2559	1280	0	2143	1228	123
2815	1280	0	2336	1238	126
3071	1280	0	2505	1246	130
3327	1280	0	2690	1257	135
3583	1280	0	2874	1268	139
3839	1280	0	3055	1277	142
4095	1280	0	3235	1286	146
0	1536	0	384	1361	102
256	1536	0	572	1371	106
512	1536	0	752	1380	109
768	1536	0	933	1388	113
1024	1536	0	1116	1397	117
1280	1536	0	1302	1405	121
1536	1536	0	1477	1415	124
1792	1536	0	1652	1425	128
2048	1536	0	1829	1433	132
2303	1536	0	2008	1441	136
2559	1536	0	2213	1450	139
2815	1536	0	2395	1459	143
3071	1536	0	2568	1467	147
3327	1536	0	2751	1475	151
3583	1536	0	2929	1484	155
3839	1536	0	3110	1493	159
4095	1536	0	3292	1505	163
0	1792	0	449	1583	119
256	1792	0	632	1592	122
512	1792	0	811	1601	126
768	1792	0	992	1611	130
1024	1792	0	1179	1619	134
1280	1792	0	1361	1629	137
1536	1792	0	1534	1639	141
1792	1792	0	1711	1649	145
2048	1792	0	1889	1657	149
2303	1792	0	2076	1664	152
2559	1792	0	2280	1675	156
2815	1792	0	2452	1686	161
3071	1792	0	2630	1695	164
3327	1792	0	2812	1705	168
3583	1792	0	2991	1713	172
3839	1792	0	3171	1722	176
4095	1792	0	3349	1732	179
0	2048	0	513	1812	135
256	2048	0	693	1820	139
512	2048	0	873	1829	143
768	2048	0	1056	1838	146
1024	2048	0	1244	1847	150
1280	2048	0	1419	1855	154
1536	2048	0	1592	1864	158
1792	2048	0	1768	1873	161
2048	2048	0	1947	1880	165
2303	2048	0	2143	1888	169
2559	2048	0	2337	1899	174
2815	2048	0	2507	1908	177
3071	2048	0	2692	1920	181
3327	2048	0	2874	1931	185
3583	2048	0	3053	1939	189
3839	2048	0	3233	1948	192
4095	2048	0	3409	1958	196
0	2303	0	576	2039	153
256	2303	0	754	2049	157
512	2303	0	935	2059	160
768	2303	0	1119	2069	164
1024	2303	0	1305	2078	168
1280	2303	0	1477	2086	172
1536	2303	0	1652	2096	175
1792	2303	0	1829	2105	179
2048	2303	0	2009	2113	183
2303	2303	0	2212	2124	186
2559	2303	0	2393	2133	190
2815	2303	0	2567	2144	194
3071	2303	0	2754	2160	198
3327	2303	0	2934	2170	202
3583	2303	0	3114	2179	206
3839	2303	0	3293	2189	210
4095	2303	0	3468	2200	214
0	2559	0	634	2279	169
256	2559	0	815	2289	173
512	2559	0	995	2298	177
768	2559	0	1183	2307	181
1024	2559	0	1363	2315	184
1280	2559	0	1536	2323	188
1536	2559	0	1712	2332	192
1792	2559	0	1890	2339	196
2048	2559	0	2079	2347	199
2303	2559	0	2282	2357	203
2559	2559	0	2451	2365	207
2815	2559	0	2631	2376	212
3071	2559	0	2817	2390	215
3327	2559	0	2997	2398	219
3583	2559	0	3177	2407	223
3839	2559	0	3355	2417	227
4095	2559	0	3531	2426	230
0	2815	0	697	2499	186
256	2815	0	878	2507	190
512	2815	0	1059	2515	194
768	2815	0	1247	2524	197
1024	2815	0	1422	2532	201
1280	2815	0	1597	2542	206
1536	2815	0	1773	2550	209
1792	2815	0	1953	2558	212
2048	2815	0	2150	2568	216
2303	2815	0	2342	2576	221
2559	2815	0	2511	2584	225
2815	2815	0	2695	2596	228
3071	2815	0	2877	2607	232
3327	2815	0	3057	2616	237
3583	2815	0	3239	2628	241
3839	2815	0	3417	2641	244
4095	2815	0	3598	2651	248
0	3071	0	756	2715	204
256	3071	0	935	2723	208
512	3071	0	1120	2732	211
768	3071	0	1305	2740	215
1024	3071	0	1481	2755	219
1280	3071	0	1657	2766	222
1536	3071	0	1835	2774	226
1792	3071	0	2015	2782	230
2048	3071	0	2219	2791	234
2303	3071	0	2399	2800	237
2559	3071	0	2572	2809	241
2815	3071	0	2754	2820	245
3071	3071	0	2934	2830	249
3327	3071	0	3115	2841	253
3583	3071	0	3298	2854	258
3839	3071	0	3475	2866	262
4095	3071	0	3659	2874	265
0	3327	0	817	2943	219
256	3327	0	997	2952	223
512	3327	0	1184	2961	227
768	3327	0	1365	2970	231
1024	3327	0	1538	2979	235
1280	3327	0	1714	2988	239
1536	3327	0	1891	2996	242
1792	3327	0	2080	3005	247
2048	3327	0	2284	3016	250
2303	3327	0	2452	3023	253
2559	3327	0	2631	3036	258
2815	3327	0	2816	3050	262
3071	3327	0	2996	3059	265
3327	3327	0	3176	3070	270
3583	3327	0	3355	3080	274
3839	3327	0	3532	3091	278
4095	3327	0	3720	3100	281
0	3583	0	876	3166	237
256	3583	0	1058	3175	241
512	3583	0	1246	3185	245
768	3583	0	1423	3198	248
1024	3583	0	1598	3211	252
1280	3583	0	1774	3220	256
1536	3583	0	1954	3228	260
1792	3583	0	2151	3237	263
2048	3583	0	2344	3246	267
2303	3583	0	2511	3255	271
2559	3583	0	2693	3264	275
2815	3583	0	2875	3276	278
3071	3583	0	3057	3288	282
3327	3583	0	3241	3302	286
3583	3583	0	3416	3313	289
3839	3583	0	3597	3321	293
4095	3583	0	3785	3330	297
0	3839	0	937	3390	253
256	3839	0	1120	3399	256
512	3839	0	1306	3409	260
768	3839	0	1479	3419	264
1024	3839	0	1656	3433	269
1280	3839	0	1834	3442	272
1536	3839	0	2012	3445	275
1792	3839	0	2217	3455	279
2048	3839	0	2399	3468	283
2303	3839	0	2574	3481	287
2559	3839	0	2757	3490	291
2815	3839	0	2937	3502	295
3071	3839	0	3116	3511	299
3327	3839	0	3294	3518	302
3583	3839	0	3470	3529	306
3839	3839	0	3657	3539	310
4095	3839	0	3841	3550	315
0	4095	0	998	3615	270
256	4095	0	1185	3625	274
512	4095	0	1365	3634	278
768	4095	0	1539	3643	282
1024	4095	0	1715	3654	284
1280	4095	0	1893	3661	288
1536	4095	0	2081	3669	292
1792	4095	0	2285	3679	296
2048	4095	0	2455	3689	299
2303	4095	0	2632	3699	303
2559	4095	0	2815	3710	307
2815	4095	0	2998	3725	312
3071	4095	0	3179	3735	315
3327	4095	0	3357	3745	319
3583	4095	0	3534	3756	324
3839	4095	0	3726	3768	327
4095	4095	0	3902	3776	331
0	0	256	7	5	216
256	0	256	200	15	220
512	0	256	393	24	223
768	0	256	581	33	228
1024	0	256	762	43	232
1280	0	256	943	52	236
1536	0	256	1128	61	239
1792	0	256	1315	71	243
2048	0	256	1488	80	247
2303	0	256	1666	89	251
2559	0	256	1845	98	256
2815	0	256	2025	108	260
3071	0	256	2230	117	263
3327	0	256	2411	126	266
3583	0	256	2585	136	270
3839	0	256	2770	145	275
4095	0	256	2951	154	279
0	256	256	72	237	231
256	256	256	262	247	236
512	256	256	453	256	241
768	256	256	638	266	246
1024	256	256	819	276	249
1280	256	256	1000	285	253
1536	256	256	1186	294	257
1792	256	256	1367	304	261
2048	256	256	1541	313	264
2303	256	256	1718	322	269
2559	256	256	1897	331	272
2815	256	256	2085	340	276
3071	256	256	2288	349	279
3327	256	256	2460	357	283
3583	256	256	2640	368	288
3839	256	256	2824	377	292
4095	256	256	3003	386	295
0	512	256	135	468	252
256	512	256	325	477	255
512	512	256	517	487	259
768	512	256	696	497	262
1024	512	256	876	506	266
1280	512	256	1058	515	271
1536	512	256	1247	524	274
1792	512	256	1422	533	277
2048	512	256	1599	542	281
2303	512	256	1777	552	285
2559	512	256	1954	559	289
2815	512	256	2150	568	292
3071	512	256	2344	577	296
3327	512	256	2515	586	300
3583	512	256	2697	595	304
3839	512	256	2878	604	307
4095	512	256	3059	612	311
0	768	256	198	693	269
256	768	256	389	701	271
512	768	256	577	711	275
768	768	256	757	722	280
1024	768	256	938	730	283
1280	768	256	1123	739	286
1536	768	256	1308	748	290
1792	768	256	1482	756	294
2048	768	256	1656	764	299
2303	768	256	1834	773	302
2559	768	256	2015	782	305
2815	768	256	2219	791	309
3071	768	256	2401	800	313
3327	768	256	2574	809	316
3583	768	256	2756	818	320
3839	768	256	2936	826	324
4095	768	256	3120	837	329
0	1024	256	263	917	285
256	1024	256	454	925	288
512	1024	256	638	934	292
768	1024	256	818	943	296
1024	1024	256	999	952	299
1280	1024	256	1186	962	303
1536	1024	256	1368	972	307
1792	1024	256	1542	981	312
2048	1024	256	1719	990	315
2303	1024	256	1897	998	318
2559	1024	256	2087	1007	322
2815	1024	256	2290	1016	326
3071	1024	256	2459	1025	329
3327	1024	256	2637	1034	333
3583	1024	256	2819	1043	337
3839	1024	256	2999	1052	341
4095	1024	256	3181	1064	345
0	1280	256	327	1143	301
256	1280	256	518	1151	304
512	1280	256	697	1162	309
768	1280	256	877	1172	312
1024	1280	256	1059	1181	316
1280	1280	256	1248	1190	320
1536	1280	256	1423	1200	324
1792	1280	256	1597	1208	327
2048	1280	256	1774	1217	331
2303	1280	256	1953	1227	335
2559	1280	256	2150	1235	338
2815	1280	256	2342	1244	341
3071	1280	256	2511	1253	345
3327	1280	256	2694	1264	350
3583	1280	256	2877	1273	353
3839	1280	256	3058	1282	357
4095	1280	256	3240	1293	361
0	1536	256	390	1367	318
256	1536	256	577	1375	320
512	1536	256	757	1386	324
768	1536	256	938	1394	328
1024	1536	256	1122	1402	332
1280	1536	256	1307	1410	335
1536	1536	256	1481	1421	339
1792	1536	256	1657	1430	343
2048	1536	256	1835	1439	348
2303	1536	256	2016	1448	350
2559	1536	256	2219	1457	354
2815	1536	256	2400	1465	358
3071	1536	256	2574	1475	362
3327	1536	256	2757	1483	365
3583	1536	256	2936	1491	369
3839	1536	256	3117	1500	374
4095	1536	256	3298	1512	378
0	1792	256	456	1590	333
256	1792	256	639	1599	337
512	1792	256	818	1609	341
768	1792	256	999	1617	345
1024	1792	256	1186	1626	348
1280	1792	256	1365	1636	352
1536	1792	256	1538	1645	356
1792	1792	256	1715	1654	360
2048	1792	256	1893	1662	363
2303	1792	256	2082	1672	367
2559	1792	256	2285	1681	371
2815	1792	256	2456	1691	375
3071	1792	256	2636	1703	378
3327	1792	256	2819	1712	382
3583	1792	256	2998	1721	386
3839	1792	256	3178	1732	390
4095	1792	256	3357	1741	394
0	2048	256	520	1816	350
256	2048	256	700	1827	354
