0	0	0	0	0	0
62	0	0	36	0	2
123	0	0	75	0	4
185	0	0	124	0	14
254	0	0	179	0	21
308	0	0	231	0	24
386	0	0	322	0	27
451	0	0	415	0	28
482	0	0	471	0	28
513	0	0	531	0	29
544	0	0	593	0	29
575	0	0	660	0	29
606	0	0	733	0	29
637	0	0	804	0	27
668	0	0	865	0	28
800	0	0	1023	0	24
924	0	0	1023	0	23
0	62	0	0	32	0
62	62	0	32	31	0
123	62	0	72	25	0
185	62	0	124	17	3
254	62	0	185	0	6
308	62	0	238	0	16
386	62	0	329	0	22
451	62	0	425	0	25
482	62	0	480	0	26
513	62	0	541	0	26
544	62	0	602	0	27
575	62	0	670	0	27
606	62	0	745	0	28
637	62	0	812	0	26
668	62	0	872	0	27
800	62	0	1023	0	23
924	62	0	1023	0	23
0	123	0	0	63	21
62	123	0	8	62	0
123	123	0	61	59	0
185	123	0	115	53	0
254	123	0	179	45	0
308	123	0	238	36	2
386	123	0	343	22	6
451	123	0	455	0	7
482	123	0	513	0	12
513	123	0	576	0	15
544	123	0	635	0	18
575	123	0	706	0	19
606	123	0	780	0	21
637	123	0	840	0	21
668	123	0	900	0	22
800	123	0	1023	0	21
924	123	0	1023	0	21
0	185	0	0	104	36
62	185	0	0	102	24
123	185	0	44	100	0
185	185	0	100	96	0
254	185	0	166	86	0
308	185	0	227	78	0
386	185	0	334	64	0
451	185	0	447	53	1
482	185	0	512	48	4
513	185	0	583	42	5
544	185	0	655	36	6
575	185	0	735	30	7
606	185	0	811	23	7
637	185	0	880	15	8
668	185	0	948	0	8
800	185	0	1023	0	16
924	185	0	1023	0	17
0	254	0	0	151	49
62	254	0	0	150	42
123	254	0	0	147	0
185	254	0	75	144	0
254	254	0	144	138	0
308	254	0	207	131	0
386	254	0	317	118	0
451	254	0	432	106	0
482	254	0	496	100	0
513	254	0	570	94	0
544	254	0	641	87	0
575	254	0	721	80	0
606	254	0	800	74	0
637	254	0	868	67	3
668	254	0	937	60	5
800	254	0	1023	30	7
924	254	0	1023	32	15
0	308	0	0	193	49
62	308	0	0	192	46
123	308	0	0	191	24
185	308	0	52	189	0
254	308	0	122	185	0
308	308	0	187	179	0
386	308	0	297	165	0
451	308	0	415	152	0
482	308	0	478	147	0
513	308	0	552	140	0
544	308	0	625	133	0
575	308	0	704	126	0
606	308	0	789	118	0
637	308	0	858	111	0
668	308	0	929	103	0
800	308	0	1023	64	4
924	308	0	1023	55	14
0	386	0	0	263	55
62	386	0	0	263	50
123	386	0	0	263	37
185	386	0	9	264	0
254	386	0	92	261	0
308	386	0	152	257	0
386	386	0	261	249	0
451	386	0	377	237	0
482	386	0	442	231	0
513	386	0	517	224	0
544	386	0	592	216	0
575	386	0	673	208	0
606	386	0	759	198	0
637	386	0	833	188	0
668	386	0	907	179	0
800	386	0	1023	125	0
924	386	0	1023	96	11
0	451	0	0	338	61
62	451	0	0	338	57
123	451	0	0	340	44
185	451	0	0	344	20
254	451	0	65	344	0
308	451	0	127	341	0
386	451	0	230	332	0
451	451	0	343	322	0
482	451	0	406	315	0
513	451	0	474	308	0
544	451	0	554	299	0
575	451	0	635	290	0
606	451	0	720	278	0
637	451	0	803	267	0
668	451	0	879	256	0
800	451	0	1023	191	0
924	451	0	1023	138	8
0	482	0	0	382	63
62	482	0	0	382	60
123	482	0	0	383	48
185	482	0	0	387	26
254	482	0	52	389	0
308	482	0	115	387	0
386	482	0	217	380	0
451	482	0	323	370	0
482	482	0	385	363	0
513	482	0	456	355	0
544	482	0	533	349	0
575	482	0	614	336	0
606	482	0	700	324	0
637	482	0	784	313	0
668	482	0	863	300	0
800	482	0	1023	228	0
924	482	0	1023	161	4
0	513	0	0	425	65
62	513	0	0	425	62
123	513	0	0	427	52
185	513	0	0	432	32
254	513	0	39	436	0
308	513	0	102	435	0
386	513	0	202	428	0
451	513	0	304	418	0
482	513	0	367	414	0
513	513	0	436	406	0
544	513	0	511	399	0
575	513	0	591	389	0
606	513	0	676	378	0
637	513	0	764	365	0
668	513	0	847	350	0
800	513	0	1023	272	0
924	513	0	1023	186	0
0	544	0	0	474	68
62	544	0	0	474	64
123	544	0	0	477	55
185	544	0	0	483	37
254	544	0	24	490	0
308	544	0	89	486	0
386	544	0	188	481	0
451	544	0	287	472	0
482	544	0	346	467	0
513	544	0	412	461	0
544	544	0	486	451	0
575	544	0	566	443	0
606	544	0	651	432	0
637	544	0	745	421	0
668	544	0	828	406	0
800	544	0	1023	320	0
924	544	0	1023	220	0
0	575	0	0	526	71
62	575	0	0	526	68
123	575	0	0	530	58
185	575	0	0	535	41
254	575	0	0	544	0
308	575	0	75	543	0
